Rv2423,Rv2423,Unknown
Rv0045c,Rv0045c,Function unknown; probably involved in lipid biosynthesis.
Rv0046c,ino1,Involved in phosphatidylinositol (PI) biosynthetic pathway [catalytic activity: D-glucose 6-phosphate = 1L-myo-inositol 1-phosphate].
Rv0285,PE5,Function unknown
Rv0051,Rv0051,Unknown
Rv0052,Rv0052,Function unknown
Rv0054,ssb,This protein is essential for replication of the chromosome. It is also involved in DNA recombination and repair.
Rv0056,rplI,Binds to the 23S rRNA.
Rv0057,Rv0057,Unknown
Rv0058,dnaB,Participates in initiation and elongation during chromosome replication; it exhibits DNA-dependent ATPase activity. The intein is an endonuclease (potential).
Rv0059,Rv0059,Unknown
Rv0067c,Rv0067c,Possibly involved in transcriptional mechanism.
MTB000020,rrl,-
Rv0063,Rv0063,Function unknown; probably involved in cellular metabolism.
Rv0064,Rv0064,Unknown
Rv0064A,vapB1,Unknown
Rv0065,vapC1,Unknown
Rv0081,Rv0081,Involved in transcriptional mechanism.
Rv0082,Rv0082,Function unknown; probably involved in cellular metabolism.
Rv1829,Rv1829,Function unknown
Rv0070c,glyA2,Key enzyme in the biosynthesis of purines  lipids  other components. Interconversion of serine and glycine [catalytic activity: 5 10-methylenetetrahydrofolate + glycine + H2O = tetrahydrofolate + L-serine].
Rv0071,Rv0071,Unknown
Rv0072,Rv0072,Thought to be involved in active transport of glutamine across the membrane (import). Responsible for the translocation of the substrate across the membrane.
Rv0074,Rv0074,Function unknown
Rv0075,Rv0075,Function unknown; probably involved in cellular metabolism.
Rv0076c,Rv0076c,Unknown
Rv0141c,Rv0141c,Unknown
Rv0516c,Rv0516c,May be involved in regulating sigma factor
Rv0084,hycD,Involved in hydrogen metabolism; FHL pathway.
Rv0085,hycP,Involved in hydrogen metabolism.
Rv0086,hycQ,Possibly involved in hydrogen metabolism.
Rv0087,hycE,Involved in hydrogen metabolism; FHL pathway.
Rv0088,Rv0088,Unknown
Rv0089,Rv0089,Thought to cause methylation.
Rv0273c,Rv0273c,Could be involved in transcriptional mechanism.
Rv1060,Rv1060,Unknown
Rv0093c,Rv0093c,Unknown
Rv0094c,Rv0094c,Function unknown
Rv0095c,Rv0095c,Function unknown
Rv0097,Rv0097,Function unknown; probably involved in cellular metabolism.
Rv0098,fcoT,Involved in fatty acid metabolism
Rv0100,Rv0100,Function unknown
Rv0500B,Rv0500B,Function unknown
Rv0790c,Rv0790c,Unknown
Rv0103c,ctpB,Cation-transporting ATPase; possibly catalyzes the transport of a cation (possibly coopper) with the hydrolyse of ATP [catalytic activity: ATP + H(2)O + cation(in) = ADP + orthophosphate + cation(out)].
Rv0104,Rv0104,Function unknown
Rv0105c,rpmB1,Possibly involved in a translation mechanism.
Rv0130,htdZ,Unknown
Rv0678,Rv0678,Function unknown
Rv2010,vapC15,Unknown
Rv0107c,ctpI,Cation-transporting ATPase; possibly catalyzes the transport of a cation (possibly magnesium) with the hydrolyse of ATP [catalytic activity: ATP + H(2)O + cation(in) = ADP + phosphate + cation(out)].
Rv0108c,Rv0108c,Unknown
Rv0110,Rv0110,Unknown
Rv0111,Rv0111,Function unknown; probably involved in cellular metabolism.
Rv0112,gca,Possibly involved in synthesis of a-band common antigen lipopolysaccharide. First of the three steps in the biosynthesis of GDP-fucose from GDP-mannose [catalytic activity: GDP-mannose = GDP-4-dehydro-6-deoxy-D-mannose + H2O].
Rv0581,vapB26,Unknown
Rv0115,hddA,Involved in biosynthesis of nucleotide-activated glycero-manno-heptose (D-alpha-D pathway) [catalytic activity: D-glycero-alpha beta-D-manno-heptose 7-phosphate + ATP = D-glycero-alpha-D-manno-heptose 1 7-biphosphate].
Rv0116c,ldtA,Involved in peptidoglycan synthesis. Catalyzes the formation of 3->3 crosslinks between peptidoglycan subunits.
Rv0117,oxyS,Could effect functions of OXYR during evolution.
Rv0131c,fadE1,Function unknown  but involved in lipid degradation.
Rv0145,Rv0145,Possible methyltransferase
Rv0119,fadD7,Function unknown  but involved in lipid degradation.
Rv0120c,fusA2,Involved in translation mechanism. This protein may promote the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome.
Rv0121c,Rv0121c,Function unknown
Rv0122,Rv0122,Unknown
Rv0123,Rv0123,Unknown
Rv0124,PE_PGRS2,Function unknown
Rv0240,vapC24,Unknown
Rv0582,vapC26,Unknown
Rv0127,mak,Catalyzes the transfer of a phosphate group from ATP to maltose to produce maltose-1-phosphate [catalytic activity: ATP + maltose = ADP + maltose-1-phosphate]
Rv0128,Rv0128,Unknown
Rv0177,Rv0177,Unknown
Rv0215c,fadE3,Function unknown  but involved in lipid degradation.
Rv0397,Rv0397,Function unknown
Rv2016,Rv2016,Unknown
Rv0132c,fgd2,Catalyzes oxidation of glucose-6-phosphate to 6-phosphogluconolactone using coenzyme F420 (an *-hydroxy-5-deazaflavin derivative) as the electron acceptor.
Rv0133,Rv0133,Acetylation  substrate unknown
Rv0134,ephF,Thought to be involved in detoxification reactions following oxidative damage to lipids [catalytic activity: an epoxide + H(2)O = a glycol].
Rv0167,yrbE1A,Unknown
Rv0201c,Rv0201c,Function unknown
Rv2517c,Rv2517c,Unknown
MTB000051,F6,Unknown
Rv0139,Rv0139,Function unknown; probably involved in cellular metabolism.
Rv0144,Rv0144,Involved in transcriptional mechanism.
Rv0146,Rv0146,Possible methyltransferase
Rv0192A,Rv0192A,Function unknown
Rv0921,Rv0921,Prevents the cointegration of foreign DNA before integration into the chromosome.
Rv0148,Rv0148,Function unknown; possibly involved in cellular metabolism.
Rv0148,Rv0148,Function unknown; possibly involved in cellular metabolism.
Rv0149,Rv0149,Possibly binds NADP and acts through a one-electron transfer process. Quinones are supposed to be the best substrates. May act in the detoxification of xenobiotics [catalytic activity: NADPH + quinone = NADP+ + semiquinone]
Rv0150c,Rv0150c,Function unknown
Rv0179c,lprO,Unknown
Rv0184,Rv0184,Function unknown
Rv0354c,PPE7,Function unknown
Rv0154c,fadE2,Function unknown  but involved in lipid degradation.
Rv0155,pntAa,The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane [catalytic activity: NADPH + NAD+ = NADP+ + NADH].
Rv0180c,Rv0180c,Unknown
Rv0193c,Rv0193c,Unknown
Rv0209,Rv0209,Unknown
Rv1419,Rv1419,Unknown
Rv0156,pntAb,The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane [catalytic activity: NADPH + NAD+ = NADP+ + NADH].
Rv0158,Rv0158,Involved in transcriptional mechanism.
Rv0159c,PE3,Function unknown
Rv0160c,PE4,Function unknown
Rv0181c,Rv0181c,Function unknown
Rv0219,Rv0219,Unknown
Rv0461,Rv0461,Unknown
Rv0162c,adhE1,Dehydrogeneses a alcohol (OXIDO-reduction) [catalytic activity: an alcohol + NAD+ = an aldehyde or ketone + NADH].
Rv0163,Rv0163,Function unknown
Rv0164,TB18.5,Function unknown
Rv0165c,mce1R,Involved in transcriptional mechanism
Rv0168,yrbE1B,Unknown
Rv0396,Rv0396,Unknown
Rv0610c,Rv0610c,Unknown
Rv1632c,Rv1632c,Unknown
Rv0170,mce1B,Unknown  but thought to be involved in host cell invasion.
Rv0182c,sigG,The sigma factor is an initiation factor that promotes attachment of the RNA polymerase to specific initiation sites and then is released.
Rv0313,Rv0313,Function unknown
Rv0360c,Rv0360c,Function unknown
Rv0887c,Rv0887c,Function unknown
Rv0172,mce1D,Unknown  but thought to be involved in host cell invasion.
Rv0173,lprK,Unknown  but thought to be involved in host cell invasion.
Rv0176,Rv0176,Unknown
Rv0183,Rv0183,Function unknown; probably involved in cellular metabolism.
Rv0188,Rv0188,Unknown
Rv0236A,Rv0236A,Unknown
Rv0175,Rv0175,Unknown
Rv0186,bglS,Possibly involved in degradation [catalytic activity: hydrolysis of terminal  non-reducing beta-D-glucose residues with release of beta-D-glucose].
Rv0186A,mymT,Coordinates Cu(I) ions into a Cu(I)-thiolate core  protects cell from copper toxicity
Rv0187,Rv0187,Thought to be involved in transfer of methyl group.
Rv0222,echA1,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv0272c,Rv0272c,Unknown
Rv0314c,Rv0314c,Unknown
Rv0611c,Rv0611c,Unknown
Rv0190,Rv0190,Function unknown
Rv0191,Rv0191,Unknown; possibly involved in transport of drug across the membrane.
Rv0192,Rv0192,Function unknown
Rv0194,Rv0194,Thought to be involved in active transport of drugs across the membrane (export): multidrug resistance by an export mechanism. Responsible for energy coupling to the transport system and for the translocation of the substrate across the membrane.
Rv0968,Rv0968,Function unknown
Rv3424c,Rv3424c,Unknown
Rv0196,Rv0196,Possibly involved in transcriptional mechanism.
Rv0198c,zmp1,Function unknown; hydrolyzes peptides and/or proteins.
Rv0199,Rv0199,Unknown
Rv0208c,Rv0208c,Causes methylation
Rv0213c,Rv0213c,Causes methylation
Rv1961,Rv1961,Unknown
Rv0203,Rv0203,Unknown
Rv0204c,Rv0204c,Unknown
Rv0205,Rv0205,Unknown
Rv0206c,mmpL3,Unknown. Thought to be involved in fatty acid transport.
Rv0207c,Rv0207c,Function unknown
Rv0901,Rv0901,Function unknown
Rv2886c,Rv2886c,Prevents the cointegration of foreign DNA before integration into the chromosome.
Rv0212c,nadR,Involved in transcriptional mechanism.
Rv0216,Rv0216,Unknown
Rv0217c,lipW,Function unknown; lipolytic enzyme probably involved in cellular metabolism.
Rv0218,Rv0218,Unknown
Rv0320,Rv0320,Unknown
Rv0221,Rv0221,May be involved in synthesis of triacylglycerol
Rv0224c,Rv0224c,Causes methylation
Rv0225,Rv0225,Possibly involved in LPS biosynthesis.
Rv0246,Rv0246,Unknown
Rv0286,PPE4,Function unknown
Rv0463,Rv0463,Unknown
Rv0227c,Rv0227c,Unknown
Rv0228,Rv0228,Function unknown; probably involved in cellular metabolism.
Rv0229c,Rv0229c,Unknown
Rv0230c,php,Enzymatic activity unknown [catalytic activity: aryl dialkyl phosphate + H2O = dialkyl phosphate + an aryl alcohol].
Rv0239,vapB24,Unknown
Rv0401,Rv0401,Unknown
Rv1116A,Rv1116A,Function unknown
Rv0232,Rv0232,Involved in transcriptional mechanism.
Rv0233,nrdB,Involved in the DNA replication pathway (first reaction). Provides the precursors necessary for DNA synthesis [catalytic activity: 2'-deoxyribonucleoside diphosphate + oxidized thioredoxin + H2O = ribonucleoside diphosphate + reduced thioredoxin].
Rv0235c,Rv0235c,Unknown
Rv0236c,aftD,Involved in the biosynthesis of the mycobacterial cell wall arabinan
Rv0253,nirD,Involved in nitrate assimilation (denitrification); required for activity of the reductase [catalytic activity: 3 NAD(P)H + nitrite = 3 NAD(P)+ + NH4OH + H2O.]
Rv0238,Rv0238,Possibly involved in transcriptional mechanism.
Rv0241c,htdX,Involved in fatty acid synthesis type II (fas-II)
Rv0252,nirB,Involved in nitrate assimilation (denitrification) (at the second step). This enzyme is a FAD flavoprotein that also contains a siroheme and one 2FE-2S iron-sulfur center [catalytic activity: 3 NAD(P)H + nitrite = 3 NAD(P)+ + NH4OH + H2O.]
Rv0259c,Rv0259c,Function unknown
Rv0280,PPE3,Function unknown
Rv0287,esxG,Function unknown
Rv2269c,Rv2269c,Unknown
Rv0243,fadA2,Function unknown  but involved in lipid degradation [catalytic activity: acyl-CoA + acetyl-CoA = CoA + 3-oxoacyl-CoA].
Rv0254c,cobU,Involved in cobalamin biosynthesis.
Rv1156,Rv1156,Function unknown
Rv0248c,Rv0248c,Involved in interconversion of fumarate and succinate (aerobic respiration) [catalytic activity: succinate + acceptor = fumarate + reduced acceptor].
Rv0249c,Rv0249c,Could be involved in interconversion of fumarate and succinate (aerobic respiration). This hydrophobic component may be required to anchor the catalytic components of the succinate dehydrogenase complex to the cytoplasmic membrane.
Rv0250c,Rv0250c,Function unknown. Possibly down-regulated by HSPR|Rv0353.
Rv0251c,hsp,Thought to be involved in the initiation step of translation at high temperature. Bound to 30S ribosomal subunit. Possibly a molecular chaperone. Seems to be regulated positively by SIGE|Rv1221 and negatively by HSPR|Rv0353.
Rv2028c,Rv2028c,Unknown
Rv1573,Rv1573,Unknown
Rv0256c,PPE2,Function unknown
Rv0257,Rv0257,Function unknown
Rv0258c,Rv0258c,Function unknown
Rv0260c,Rv0260c,Could be involved in transcriptional mechanism.
Rv0295c,Rv0295c,Function unknown
Rv0262c,aac,Confers resistance to aminoglycosides (gentamicin  tobramycin  dibekacin  netilmicin  and 6'-N-ethylnetilmicin).
Rv0263c,Rv0263c,Function unknown
Rv0264c,Rv0264c,Function unknown
Rv0268c,Rv0268c,Unknown
Rv0288,esxH,Function unknown. May be involved in virulence.
Rv1735c,Rv1735c,Function unknown
Rv0266c,oplA,Catalyzes the cleavage of 5-oxo-L-proline to form L-glutamate coupled to the hydrolysis of ATP to ADP and inorganic phosphate [catalytic activity: ATP + 5-oxo-L-proline + 2 H2O = ADP + phosphate + L-glutamate].
Rv0269c,Rv0269c,Function unknown
Rv0270,fadD2,Function unknown  but involved in lipid degradation.
Rv0271c,fadE6,Function unknown  but involved in lipid degradation.
Rv0311,Rv0311,Unknown
Rv0325,Rv0325,Unknown
Rv1874,Rv1874,Unknown
Rv0275c,Rv0275c,Could be involved in transcriptional mechanism.
Rv0276,Rv0276,Function unknown
Rv0277c,vapC25,Unknown
Rv0279c,PE_PGRS4,Function unknown
Rv0284,eccC3,Unknown
Rv0283,eccB3,Unknown
Rv0290,eccD3,Unknown
Rv0316,Rv0316,Could be involved in the catabolism of catechol to succinate- and acetyl-CoA in the beta-ketoadipate pathway (at the third step) [catalytic activity: 2 5-dihydro-5-oxofuran-2-acetate = 3 4-dihydro-5-oxofuran-2-acetate].
Rv0333,Rv0333,Unknown
Rv2963,Rv2963,Unknown
Rv0292,eccE3,Unknown
Rv0293c,Rv0293c,Function unknown
Rv0294,tam,Possibly catalyzes the S-adenosylmethionine monomethyl esterification of trans-aconitate at high affinity and of cis-aconitate  isocitrate  and citrate at lower velocities and affinities.
Rv0364,Rv0364,Unknown
Rv0508,Rv0508,Function unknown
Rv0303,Rv0303,Function unknown; probably involved in cellular metabolism.
Rv0298,Rv0298,Unknown
Rv0299,Rv0299,Unknown
Rv0300,vapB2,Unknown
Rv0326,Rv0326,Unknown
Rv0332,Rv0332,Function unknown
Rv0347,Rv0347,Unknown
Rv0308,Rv0308,Unknown
Rv0309,Rv0309,Unknown
Rv0310c,Rv0310c,Function unknown
Rv0312,Rv0312,Function unknown
Rv0315,Rv0315,Possibly hydrolyzes specific sugar (hydrolyzation of glycosidic bond) and could be involved in exopolysaccharide biosynthesis/degradation. Could also have a LYTIC activity against cell WALLS.
Rv0499,Rv0499,Function unknown
Rv0318c,Rv0318c,Unknown
Rv0319,pcp,Removes 5-oxoproline from various penultimate amino acid residues except L-proline [catalytic activity: 5-oxoprolyl-peptide + H2O = 5-oxoproline + peptide].
Rv0321,dcd,Involved in interconversion of dCTP and dUTP [catalytic activity: dCTP + H2O = dUTP + NH3].
Rv0322,udgA,Possibly involved in polysaccharide biosynthesis [catalytic activity: UDP-glucose + 2 NAD+ + H2O = UDP-glucuronate + 2 NADH].
Rv0323c,Rv0323c,Function unknown
Rv0351,grpE,Stimulates  jointly with DNAJ|Rv0352  the ATPase activity of DNAK|Rv0350. HELPS to release ADP from DNAK thus allowing DNAK to recycle more efficiently. Seems to be regulated negatively by HSPR (Rv0353 product).
Rv0327c,cyp135A1,Cytochromes P450 are a group of heme-thiolate monooxygenases. They oxidize a variety of structurally unrelated compounds  including steroids  fatty acids  and xenobiotics.
Rv0328,Rv0328,Possibly involved in a transcriptional mechanism.
Rv0329c,Rv0329c,Function unknown
Rv0330c,Rv0330c,Unknown
Rv1115,Rv1115,Unknown
Rv3902c,Rv3902c,Unknown
Rv0335c,PE6,Function unknown
Rv0336,Rv0336,Function unknown
Rv0337c,aspC,Generates oxaloacetate and L-glutamate from L-aspartate and 2-oxoglutarate [catalytic activity: L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate].
Rv0365c,Rv0365c,Function unknown: may be involved in the ability to survive in macrophages.
Rv1890c,Rv1890c,Unknown
Rv0340,Rv0340,Function unknown
Rv0342,iniA,Unknown
Rv0358,Rv0358,Function unknown
Rv0366c,Rv0366c,Function unknown
Rv0381c,Rv0381c,Unknown
Rv1061,Rv1061,Function unknown
Rv2824c,Rv2824c,Unknown
Rv0344c,lpqJ,Unknown
Rv0345,Rv0345,Function unknown
Rv0348,Rv0348,Could be involved in transcriptional mechanism.
Rv0350,dnaK,Acts as a chaperone. Involved in induction by stress conditions e.g. heat shock. Possibly has an ATPase activity. Seems to be regulated positively by sigh (Rv3223c product) and negatively by HSPR (Rv0353 product).
Rv2050,Rv2050,Unknown
Rv0353,hspR,Involved in transcriptional regulation (repression) of heat shock proteins e.g. DNAK|Rv0350  GRPE|Rv0351  DNAJ1|Rv0352. Binds to three inverted repeats (IR1-IR3) in the promoter region of the DNAK operon. Induction: by heat shock.
Rv0355c,PPE8,Function unknown
Rv0356c,Rv0356c,Function unknown
Rv0359,Rv0359,Unknown
Rv0361,Rv0361,Unknown
Rv0394c,Rv0394c,Unknown
Rv0363c,fba,Involved in glycolysis (at the sixth step) [catalytic activity: D-fructose 1 6-bisphosphate = glycerone phosphate + D-glyceraldehyde 3-phosphate].
Rv0369c,Rv0369c,Function unknown; probably involved in cellular metabolism.
Rv0370c,Rv0370c,Function unknown; probably involved in cellular metabolism.
Rv0443,Rv0443,Function unknown
Rv1413,Rv1413,Function unknown
Rv0374c,Rv0374c,Function unknown; probably involved in cellular metabolism [catalytic activity: CO + H(2)O + acceptor = CO(2) + reduced acceptor].
Rv0375c,Rv0375c,Function unknown; probably involved in cellular metabolism [catalytic activity: CO + H(2)O + acceptor = CO(2) + reduced acceptor].
Rv0387c,Rv0387c,Function unknown
Rv0398c,Rv0398c,Unknown
Rv0412c,Rv0412c,Unknown
Rv2208,cobS,Involved in cobalamin biosynthesis
Rv0378,Rv0378,Function unknown
Rv0379,secE2,Thought to be involved in protein transport (export).
Rv0380c,Rv0380c,Possibly causes methylation of RNA.
Rv0388c,PPE9,Function unknown
Rv0477,Rv0477,Unknown
Rv2186c,Rv2186c,Unknown
Rv0383c,Rv0383c,Unknown
Rv0385,Rv0385,Function unknown; probably involved in cellular metabolism.
Rv0386,Rv0386,Involved in transcriptional mechanism.
Rv1116,Rv1116,Unknown
Rv0390,Rv0390,Function unknown
Rv0391,metZ,Involved in methionine biosynthesis. Converts O-succinylhomoserine into homocysteine.
Rv0392c,ndhA,Transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. Does not couple the redox reaction to proton translocation [catalytic activity: NADH + acceptor = NAD+ + reduced acceptor].
Rv0399c,lpqK,Unknown
Rv0454,Rv0454,Function unknown
Rv0402c,mmpL1,Unknown. Thought to be involved in fatty acid transport.
Rv0403c,mmpS1,Unknown
Rv0405,pks6,Polyketide synthase possibly involved in lipid synthesis.
Rv0406c,Rv0406c,Function unknown
Rv0409,ackA,Involved at the first step (of two) in the conversion of acetate to acetyl-CoA [catalytic activity: ATP + acetate = ADP + acetyl phosphate].
Rv0411c,glnH,Involved in active transport of glutamine across the membrane (import). Interacts with the glutamine-transport system.
Rv1117,Rv1117,Function unknown
Rv0410c,pknG,Involved in signal transduction (via phosphorylation). Thought to regulate amino-acid uptake and stationary-phase metabolism. Phosphorylates the peptide substrate myelin basic protein (MBP) at serine residues [catalytic activity: ATP + a protein = ADP + a phosphoprotein].
Rv0415,thiO,Possibly involved in thiamine biosynthesis.
Rv0416,thiS,Possibly involved in thiamine biosynthesis.
Rv0456c,echA2,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv1417,Rv1417,Unknown
Rv0419,lpqM,Function unknown; possibly hydrolyzes peptides and/or proteins.
Rv0420c,Rv0420c,Unknown
Rv0421c,Rv0421c,Function unknown
Rv0422c,thiD,Involved in thiamine biosynthesis. Catalyzes the phosphorylation of HMP-P to HMP-pp [catalytic activity: ATP + 4-amino-2-methyl-5-phosphomethylpyrimidine = ADP + 4-amino-2-methyl-5-diphosphomethylpyrimidine].
Rv0424c,Rv0424c,Unknown
Rv0506,mmpS2,Unknown
Rv1418,lprH,Unknown
Rv2111c,pup,Involved in proteasomal degradation. Covalently binds to protein substrates.
Rv0426c,Rv0426c,Unknown
Rv0429c,def,Removes the formyl group from the N-terminal met of newly synthesized proteins [catalytic activity: N-formyl-L-methionine + H2O = formate + L-methionine].
Rv0430,Rv0430,Function unknown
Rv0431,Rv0431,Unknown
Rv0432,sodC,Destroys radicals which are normally produced within the cells and are toxic to biological systems [catalytic activity: 2 superoxide + 2 H+ = O2 + H2O2].
Rv1676,Rv1676,Unknown
Rv0436c,pssA,Involved in phospholipid biosynthesis. Generates phosphatidylserine [catalytic activity: CDP-diacylglycerol + L-serine = CMP + O-SN-phosphatidyl-L-serine].
Rv0438c,moeA2,Involved in molybdenum cofactor biosynthesis: involved in the biosynthesis of a demolybdo-cofactor (molybdopterin)  necessary for molybdo-enzymes.
Rv0464c,Rv0464c,Function unknown
Rv3528c,Rv3528c,Unknown
Rv0441c,Rv0441c,Unknown
Rv0442c,PPE10,Function unknown
Rv0456A,mazF1,Function unknown
Rv0444c,rskA,Regulates negatively Rv0445c|SIGK
Rv0462,lpdC,Involved in energy metabolism. Lipoamide dehydrogenase is the E3 component of pyruvate dehydrogenase and the alpha-ketoacid dehydrogenase complex [catalytic activity: dihydrolipoamide + NAD(+) = lipoamide + NADH]. Also involved in antioxidant defense; LPDC|Rv0462  DLAT|Rv2215  AHPD|Rv2429  and AHPC|Rv2428 constitute an NADH-dependent peroxidase and peroxynitrite reductase that provides protection against oxidative stress.
Rv0941c,Rv0941c,Function unknown
Rv0446c,Rv0446c,Unknown
Rv0448c,Rv0448c,Function unknown
Rv0449c,Rv0449c,Function unknown
Rv0453,PPE11,Function unknown
Rv0540,Rv0540,Function unknown
Rv0451c,mmpS4,Unknown
Rv0452,Rv0452,Possibly involved in transcriptional mechanism.
Rv0457c,Rv0457c,Function unknown; hydrolyzes peptides and/or proteins.
Rv0458,Rv0458,Interconversion aldehyde and acid [catalytic activity: an aldehyde + NAD+ + H2O = an acid + NADH].
Rv0459,Rv0459,Function unknown
Rv0460,Rv0460,Function unknown
Rv0466,Rv0466,Function unknown
Rv0468,fadB2,Butyrate/butanol-producing pathway [catalytic activity: (S)-3-hydroxybutanoyl-CoA + NADP+ = 3-acetoacetyl-CoA + NADPH]
Rv0469,umaA,Involved in mycolic acid modification or synthesis.
Rv0476,Rv0476,Unknown
Rv0991c,Rv0991c,Function unknown
Rv0470A,Rv0470A,Unknown
Rv0471c,Rv0471c,Unknown
Rv0473,Rv0473,Unknown
Rv0474,Rv0474,Possibly involved in transcriptional mechanism.
Rv0504c,Rv0504c,Function unknown
Rv0622,Rv0622,Unknown
Rv0478,deoC,Involved in nucleotide and deoxyribonucleotide catabolism [catalytic activity: 2-deoxy-D-ribose 5-phosphate = D-glyceraldehyde 3-phosphate + acetaldehyde].
Rv0479c,Rv0479c,Unknown
Rv0481c,Rv0481c,Unknown
Rv0496,Rv0496,Function unknown
Rv0518,Rv0518,Unknown
Rv1337,Rv1337,Unknown
Rv3622c,PE32,Function unknown
MTB000060,mcr19,Unknown
Rv0483,lprQ,Unknown
Rv0484c,Rv0484c,Function unknown; possibly involved in cellular metabolism.
Rv0485,Rv0485,Possibly involved in transcriptional mechanism.
Rv0495c,Rv0495c,Function unknown
Rv0497,Rv0497,Unknown
Rv0837c,Rv0837c,Unknown
Rv0487,Rv0487,Function unknown
Rv0489,gpm1,Involved in glycolysis [catalytic activity: 1 3-diphosphoglycerate + 3-phosphoglycerate = 2 3-diphosphoglycerate + 3-phosphoglycerate].
Rv0498,Rv0498,Function unknown
Rv1322A,Rv1322A,Function unknown
Rv1590,Rv1590,Function unknown
Rv2014,Rv2014,Required for the transposition of an insertion element.
Rv2270,lppN,Unknown
Rv0493c,Rv0493c,Function unknown
Rv0494,Rv0494,Involved in transcriptional mechanism.
Rv0515,Rv0515,Function unknown
Rv0502,Rv0502,Function unknown
Rv1532c,Rv1532c,Function unknown
Rv3675,Rv3675,Unknown
Rv0500,proC,Involved at the terminal (third) step in proline biosynthesis [catalytic activity: L-proline + NAD(P)+ = 1-pyrroline-5-carboxylate + NAD(P)H].
Rv0507,mmpL2,Unknown. Thought to be involved in fatty acid transport.
Rv0509,hemA,Involved in porphyrin biosynthesis by the C5 pathway (at the first step) [catalytic activity: glutamyl-tRNA(GLU) + NADPH = glutamate-1-semialdehyde + NADP+ + tRNA(GLU)].
Rv0519c,Rv0519c,Unknown; could have possibly a lipolytic activity.
MTB000045,proY,-
Rv0512,hemB,Involved in porphyrin and heme biosynthesis (at the second step) [catalytic activity: 2 5-aminolevulinate = porphobilinogen + 2 H2O].
Rv0513,Rv0513,Unknown
Rv0517,Rv0517,Function unknown; probably involved in cellular metabolism.
Rv1359,Rv1359,Involved in transcriptional mechanism
Rv1455,Rv1455,Function unknown
Rv0523c,Rv0523c,Function unknown
Rv0525,Rv0525,Function unknown
Rv0526,Rv0526,Possibly acts on thioredoxin
Rv0532,PE_PGRS6,Function unknown
Rv1541c,lprI,Unknown
Rv0528,Rv0528,Unknown
