AccessionNumber,GeneName,Function
Rv1361c,PPE19,Function unknown
Rv3124,moaR1,Involved in transcriptional mechanism.
Rv1980c,mpt64,Unknown
Rv3028c,fixB,The electron transfer flavoprotein serves as a specific electron acceptor for other dehydrogenases. It transfers the electrons to the main respiratory chain via ETF-ubiquinone oxidoreductase (ETF dehydrogenase).
Rv1082,mca,Mycothiol-dependent detoxification enzyme  involved in mycothiol biosynthesis.
Rv3739c,PPE67,Function unknown
Rv0500A,Rv0500A,Function unknown
Rv3312A,Rv3312A,Unknown
Rv2231c,cobC,Involved in cobalamin biosynthesis
Rv3497c,mce4C,Unknown  but thought to be involved in host cell invasion. Predicted to be involved in lipid catabolism.
Rv1471,trxB1,Thioredoxin participates in various redox reactions through the reversible oxidation of its active center dithiol  to a disulfide  & catalyzes dithiol-disulfide exchange reactions.
Rv3669,Rv3669,Unknown
Rv2546,vapC18,Unknown
Rv2371,PE_PGRS40,Function unknown
Rv2392,cysH,Involved in the sulfate activation pathway (at the third step) in the reductive branch of the cysteine biosynthetic pathway. Reduces activated sulfate into sulfite [catalytic activity: 5-phosphoadenosine 3-phosphosulfate + reduced thioredoxin = phosphoadenosine phosphate + oxidized thioredoxin + sulfite].
Rv3609c,folE,Involved in the biosynthesis of tetrahydrofolate (at the first step) [catalytic activity: GTP + 2 H(2)O = formate + 2-amino-4-hydroxy-6-(erythro-1 2 3-trihydroxypropyl)dihydropteridine triphosphate].
Rv1565c,Rv1565c,Unknown
Rv0823c,Rv0823c,Thought to be involved in transcriptional mechanism.
Rv1627c,Rv1627c,Thought to be involved in lipid metabolism.
MTB000061,mpr5,Unknown
Rv2218,lipA,Lipoate biosynthesis
Rv3090,Rv3090,Unknown
Rv1723,Rv1723,Function unknown; probably involved in cellular metabolism
Rv2517c,Rv2517c,Unknown
Rv1150,Rv1150,Possibly required for the transposition of an insertion element
Rv0023,Rv0023,Possibly involved in transcriptional mechanism.
Rv2091c,Rv2091c,Unknown
Rv3332,nagA,Involved in N-acetyl glucosamine utilization pathway [catalytic activity: N-acetyl-D-glucosamine 6-phosphate + H(2)O = D-glucosamine 6-phosphate + acetate].
Rv1428c,Rv1428c,Function unknown
Rv2184c,Rv2184c,Unknown
Rv2500c,fadE19,Function unknown  but seems involved in metabolism of small branched-chain fatty acids and macrolide antibiotic production. Catalyses the alpha  beta-dehydrogenation of acyl-CoA esters and transfer electrons to ETF  the electron transfer protein.
Rv2308,Rv2308,Function unknown
MTB000133,ncRv11315,Unknown
Rv1401,Rv1401,Unknown
Rv1583c,Rv1583c,Unknown
Rv0621,Rv0621,Unknown
Rv2454c,Rv2454c,Function unknown; probably involved in cellular metabolism.
Rv0722,rpmD,Involved ion translation mechanisms.
Rv0887c,Rv0887c,Function unknown
Rv2737A,Rv2737A,Function unknown
Rv0068,Rv0068,Function unknown; probably involved in cellular metabolism.
Rv1876,bfrA,Involved in iron storage (may perform analogous functions in iron detoxification and storage as that of animal ferritins); ferritin is an intracellular molecule that stores iron in a soluble  nontoxic  readily available form. The functional molecule  which is composed of 24 chains  is roughly spherical and contains a central cavity in which the polymeric ferric iron core is deposited.
Rv1506c,Rv1506c,Unknown
Rv1178,Rv1178,Function unknown; probably involved in cellular metabolism.
Rv2728c,Rv2728c,Function unknown
Rv1180,pks3,Potentially involved in some intermediate steps for the synthesis of a polyketide molecule which may be involved in secondary metabolism. Supposedly involved in stationary-phase survival.
Rv0568,cyp135B1,Cytochromes P450 are a group of heme-thiolate monooxygenases. They oxidize a variety of structurally unrelated compounds  including steroids  fatty acids  and xenobiotics.
Rv0743c,Rv0743c,Unknown
Rv1558,Rv1558,Function unknown
Rv0932c,pstS2,Involved in active transport of inorganic phosphate across the membrane (import). This is one of the proteins required for binding-protein-mediated phosphate transport.
Rv3148,nuoD,Involved in aerobic|anaerobic respiration [catalytic activity: NADH + ubiquinone = NAD(+) + ubiquinol].
Rv0883c,Rv0883c,Function unknown
Rv3038c,Rv3038c,Function unknown
Rv2126c,PE_PGRS37,Function unknown
Rv3437,Rv3437,Unknown
Rv1125,Rv1125,Function unknown
Rv1713,engA,Binds both GDP and GTP. Has an intrinsic GTPase activity and is essential for cell growth.
Rv0992c,Rv0992c,Function unknown
Rv2282c,Rv2282c,Unknown
Rv3530c,Rv3530c,Function unknown; probably involved in cellular metabolism.
Rv1524,Rv1524,Unknown
Rv3174,Rv3174,Function unknown; involved in cellular metabolism.
Rv0076c,Rv0076c,Unknown
Rv1375,Rv1375,Function unknown
Rv1170,mshB,Involved in mycothiol biosynthesis. 1-D-myo-inosityl-2-acetamido-2-deoxy-alpha-D-glucopyranoside (GlcNAc-Ins) is converted to 1-D-myo-inosityl-2-amino-2-deoxy-alpha-D-glucopyranoside (GlcN-Ins) by this enzyme. Seems to possess weak mycothiol conjugate amidase activity but SHOWS substantial deacetylation activity with 1-D-myo-inosityl-2-acetamido-2-deoxy-alpha-D-glucopyranoside (GlcNAc-Ins)  a hypothetical mycothiol biosynthetic precursor. GlcNAc-Ins is an intermediate in MSH biosynthesis.
Rv2489c,Rv2489c,Unknown
Rv3659c,Rv3659c,Function unknown
Rv1186c,Rv1186c,Function unknown
Rv1028A,kdpF,Thought to be involved in stabilization of the KDP complex.
Rv0571c,Rv0571c,Function unknown
MTB000039,gluU,-
Rv3141,fadB4,Involved in lipid degradation [catalytic activity: NADPH + quinone = NADP(+) + semiquinone].
Rv1502,Rv1502,Unknown
Rv1604,impA,Involved in inositol phosphate metabolism. It is responsible for the provision of inositol required for synthesis of phosphatidylinositol and polyphosphoinositides. Key enzyme of the phosphatidyl inositol signaling pathway [catalytic activity: inositol 1(or 4)-monophosphate + H(2)O = inositol + orthophosphate].
Rv0453,PPE11,Function unknown
Rv1044,Rv1044,Function unknown
Rv2526,vapB17,Unknown
Rv3022A,PE29,Function unknown
Rv0732,secY,Essential for protein export. Interacts with SECA|Rv3240c and SECE|Rv0638 to allow the translocation of proteins across the plasma membrane  by forming part of a channel.
Rv0615,Rv0615,Unknown
Rv2475c,Rv2475c,Function unknown
Rv0469,umaA,Involved in mycolic acid modification or synthesis.
Rv0810c,Rv0810c,Function unknown
Rv3654c,Rv3654c,Function unknown
Rv1333,Rv1333,Function unknown; probably involved in cellular metabolism
Rv2307A,Rv2307A,Unknown
Rv1338,murI,Involved in peptidoglycan biosynthesis. Provides the (R)-glutamic acid required for cell wall biosynthesis [catalytic activity: L-glutamate = D-glutamate]
Rv1701,Rv1701,Sequence integration/recombination.
Rv3329,Rv3329,Function unknown; probably involved in cellular metabolism.
Rv3477,PE31,Function unknown
Rv0256c,PPE2,Function unknown
Rv0634c,Rv0634c,Thought to be involved in glyoxal pathway. Thiolesterase that catalyses the hydrolysis of S-D-lactoyl-glutathione to form glutathione and D-lactic acid [catalytic activity: (S)-(2-hydroxyacyl)glutathione + H2O = glutathione + a 2-hydroxy acid anion].
Rv2960c,Rv2960c,Unknown
Rv1017c,prsA,Catalyzes the formation of PRPP from ATP and ribose 5-phosphate. PRPP is then used in various biosynthetic pathways  as for example in the formation of purines  pyrimidines  histidine and tryptophan. [catalytic activity: ATP + D-ribose 5-phosphate = AMP + 5-phospho-alpha-D-ribose 1-diphosphate]
Rv0759c,Rv0759c,Function unknown
MTB000106,ncRv0186c,Unknown
Rv2703,sigA,The sigma factor is an initiation factor that promotes attachment of the RNA polymerase to specific initiation sites and then is released. This is the primary sigma-factor of this bacteria. Supposedly involved in the housekeeping regulons.
Rv0189c,ilvD,Involved in valine and isoleucine biosynthesis (at the fourth step) [catalytic activity: 2 3-dihydroxy-3-methylbutanoate = 3-methyl-2- oxobutanoate + H(2)O].
Rv1038c,esxJ,Function unknown
Rv0147,Rv0147,Function unknown; probably involved in cellular metabolism [catalytic activity: an aldehyde + NAD+ + H2O = an acid + NADH].
Rv3240c,secA1,Involved in protein export. Interacts with the SECY/SECE subunits. SECA has a central role in coupling the hydrolysis of ATP to the transfer of PRE-secretory periplasmic and outer membrane proteins across the membrane.
Rv2892c,PPE45,Function unknown
Rv2288,Rv2288,Unknown
Rv2948c,fadD22,Involved in biosynthesis of phenolic glycolipids (PGLs)
Rv2586c,secF,Involved in protein export. Part of the prokaryotic protein translocation apparatus which comprise SECA  SECB  SECD  SECE  SECF  SECG and SECY.
Rv0813c,Rv0813c,Function unknown
Rv0064A,vapB1,Unknown
Rv3256c,Rv3256c,Function unknown
Rv0624,vapC30,Unknown
Rv2144c,Rv2144c,Unknown
Rv0969,ctpV,Metal cation-transporting ATPase; possibly catalyzes the transport of an undetermined metal cation with the hydrolysis of ATP [catalytic activity: ATP + H(2)O + undetermined metal cation(in) = ADP + phosphate + undetermined metal cation(out)].
Rv2046,lppI,Unknown
Rv0536,galE3,Possibly involved in galactose metabolism [catalytic activity: UDP-glucose = UDP-galactose].
Rv2923c,Rv2923c,Function unknown
Rv2437,Rv2437,Function unknown
Rv3549c,Rv3549c,Function unknown; supposed involvement in cellular metabolism.
Rv2640c,Rv2640c,Involved in transcriptional mechanism.
Rv2754c,thyX,Catalyzes the formation of dTMP and tetrahydrofolate from dUMP and methylenetetrahydrofolate
Rv1391,dfp,Flavoprotein affecting synthesis of DNA and pantothenate metabolism
Rv3496c,mce4D,Unknown  but thought to be involved in host cell invasion. Predicted to be involved in lipid catabolism.
Rv2399c,cysT,Involved in the active transport across the membrane of multiple sulfur-containing compounds  including sulfate and thiosulfate (import). Responsible for the translocation of the substrate across the membrane.
Rv0928,pstS3,Involved in active transport of inorganic phosphate across the membrane (import). This is one of the proteins required for binding-protein-mediated phosphate transport.
Rv1473,Rv1473,Thought to be involved in active transport of macrolide across the membrane (export). Macrolide antibiotics resistance by an export mechanism. Responsible for energy coupling to the transport system.
Rv2449c,Rv2449c,Unknown
Rv1960c,parD1,Function unknown
MTB000035,valT,-
Rv2590,fadD9,Function unknown  but involved in lipid degradation.
Rv3605c,Rv3605c,Unknown
Rv2860c,glnA4,Involved in glutamine biosynthesis [catalytic activity: ATP + L-glutamate + NH(3) = ADP + glutamine + orthophosphate].
Rv2364c,era,Binds both GDP and GTP. Has an intrinsic GTPase activity and is essential for cell growth.
Rv3412,Rv3412,Function unknown
Rv0963c,Rv0963c,Function unknown
Rv1318c,Rv1318c,Thought to play an essential role in regulation of cellular metabolism by catalysing the synthesis of a second messenger  camp [catalytic activity: ATP = 3' 5'-cyclic AMP + pyrophosphate].
Rv0149,Rv0149,Possibly binds NADP and acts through a one-electron transfer process. Quinones are supposed to be the best substrates. May act in the detoxification of xenobiotics [catalytic activity: NADPH + quinone = NADP+ + semiquinone]
Rv0662c,vapB7,Unknown
Rv0257,Rv0257,Function unknown
Rv2311,Rv2311,Function unknown
Rv3741c,Rv3741c,Function unknown; probably involved in cellular metabolism.
Rv3619c,esxV,Unknown
Rv0047c,Rv0047c,Function unknown
Rv1440,secG,Involved in protein export. Participates in a early event of protein translocation.
Rv3889c,espG2,Unknown
Rv3595c,PE_PGRS59,Function unknown
Rv1223,htrA,Possibly hydrolyzes peptides and/or proteins (seems to cleave preferentially after serine residue).
MTB000005,tyrT,-
Rv3446c,Rv3446c,Unknown
Rv3294c,Rv3294c,Function unknown
Rv1412,ribC,Involved in riboflavin synthesis. Riboflavin synthase is a bifunctional enzyme complex catalyzing the formation of riboflavin from 5-amino-6-(1'-D)- ribityl-amino-2 4(1H 3H)-pyrimidinedione and L-3 4-dihydrohy-2- butanone-4-phosphate via 6 7-dimethyl-8-lumazine. The alpha subunit catalyzes the dismutation of 6 7-dimethyl-8-lumazine to riboflavin and 5-amino-6-(1'-D)-ribityl-amino-2 4(1H 3H)- pyrimidinedione.
MTB000045,proY,-
Rv3672c,Rv3672c,Function unknown
Rv1993c,Rv1993c,Function unknown
Rv0610c,Rv0610c,Unknown
Rv0210,Rv0210,Unknown
Rv3050c,Rv3050c,Involved in transcriptional mechanism
Rv0715,rplX,This protein is found in the ribonucleoprotein core and is involved in the early assembly of the 50S subunit. It is not involved in the functions of the mature 50S subunit.
Rv3261,fbiA,Required for coenzyme F420 production: involved in the conversion of FO into F420.
Rv3676,crp,Involved in transcriptional mechanism.
Rv3305c,amiA1,Function unknown; certainly hydrolyses L-amino acid.
Rv3146,nuoB,Involved in aerobic|anaerobic respiration [catalytic activity: NADH + ubiquinone = NAD(+) + ubiquinol].
Rv1907c,Rv1907c,Unknown
Rv1687c,Rv1687c,Thought to be involved in active transport of undetermined substrate (possibly drug) across the membrane. Responsible for energy coupling to the transport system.
Rv1706A,Rv1706A,Function unknown
Rv1764,Rv1764,Required for the transposition of the insertion element IS6110.
Rv1672c,Rv1672c,Thought to be involved in transport across the membrane. Responsible for the translocation of undetermined substrate across the membrane.
MTB000018,argV,-
Rv0284,eccC3,Unknown
Rv1734c,Rv1734c,Function unknown
Rv1834,lipZ,Unknown
Rv3771c,Rv3771c,Function unknown
Rv1591,Rv1591,Function unknown
Rv0613c,Rv0613c,Unknown
Rv3780,Rv3780,Function unknown
Rv1601,hisB,Histidine biosynthesis (seventh step) [catalytic activity: D-erythro-1-(imidazol-4-YL)glycerol 3- phosphate = 3-(imidazol-4-YL)-2-oxopropyl phosphate + H(2)O]
Rv2394,ggtB,Plays a key role in the gamma-glutamyl cycle  a pathway for the synthesis and degradation of glutathione [catalytic activity: 5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid].
Rv0454,Rv0454,Function unknown
Rv1602,hisH,Histidine biosynthesis pathway (fifth step). Catalyzes an amidotransferase reaction that generates imidazole-glycerol phosphate and 5-aminoimidazol-4-carboxamide ribonucleotide  which is used for purine synthesis.
Rv1909c,furA,Acts as a global negative controlling element  employing FE(2+) as a cofactor to bind the operator of the repressed genes. Seems to regulate transcription of KATG|Rv1908c gene.
Rv1612,trpB,Tryptophan biosynthesis pathway (fifth last step). The beta subunit is responsible for the synthesis of L-tryptophan from indole and L-serine. [catalytic activity: L-serine + 1-(indol-3-YL)glycerol 3-phosphate = L-tryptophan + glyceraldehyde 3-phosphate + H(2)O]
Rv1989c,Rv1989c,Unknown
Rv3748,Rv3748,Function unknown
Rv0643c,mmaA3,Involved in mycolic acids modification. Catalyzes unusual S-adenosyl-methionine-dependent transformation of a cis-olefin mycolic acid into a secondary alcohol. Catalyzes introduction of a hydroxyl group at the distal position on mycolic acid chains to produce the hydroxyl mycolate. Mycolic acids represent a major constituent of the mycobacterial cell wall complex. Methyl transfer results in formation of a secondary hydroxy group with an adjacent methyl branch; olefinic mycolic acid methyl transferase.
Rv1637c,Rv1637c,Function unknown
Rv1541c,lprI,Unknown
Rv2791c,Rv2791c,Required for the transposition of the insertion element IS1602.
Rv0911,Rv0911,Function unknown
Rv3097c,lipY,Generates diacylglycerol and a fatty acid anion from triacylglycerol [catalytic activity: triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion].
Rv0801,Rv0801,Function unknown
Rv0655,mkl,Thought to be involved in active transport of ribonucleotide across the membrane. Responsible for energy coupling to the transport system.
Rv2460c,clpP2,CLP cleaves peptides in various proteins in a process that requires ATP hydrolysis. CLP may be responsible for a fairly general and central housekeeping function rather than for the degradation of specific substrates.
Rv1767,Rv1767,Function unknown
Rv1733c,Rv1733c,Unknown
Rv0161,Rv0161,Function unknown; probably involved in cellular metabolism.
Rv2398c,cysW,Involved in the active transport across the membrane of multiple sulfur-containing compounds  including sulfate and thiosulfate (import). Responsible for the translocation of the substrate across the membrane.
Rv1497,lipL,Function unknown  but supposed involvement in lipid metabolism
Rv2157c,murF,Involved in cell wall formation; peptidoglycan biosynthesis.
Rv2657c,Rv2657c,Unknown
Rv2598,Rv2598,Function unknown
Rv2895c,viuB,Thought to be involved in intracellular removal of iron from iron-mycobactin complex. Mycobactin is an iron-chelating compound involved in the transport of iron from the bacterial environment into the cell cytoplasm.
Rv2928,tesA,Probably involved in biosynthesis of phthiocerol dimycocerosate (PDIM)
Rv3750c,Rv3750c,Sequence excision.
Rv3031,Rv3031,Function unknown
Rv1628c,Rv1628c,Function unknown
Rv0784,Rv0784,Function unknown
Rv0172,mce1D,Unknown  but thought to be involved in host cell invasion.
Rv0117,oxyS,Could effect functions of OXYR during evolution.
MTB000068,mpr11,Unknown
MTB000078,MTS2823,Unknown
Rv0854,Rv0854,Function unknown
Rv3840,Rv3840,Supposedly involved in transcriptional mechanism.
Rv0756c,Rv0756c,Unknown
Rv1072,Rv1072,Unknown
Rv1370c,Rv1370c,Possibly required for the transposition of the insertion element IS6110.
Rv0524,hemL,Involved in porphyrin biosynthesis by the C5 pathway (at the second step) [catalytic activity: (S)-4-amino-5-oxopentanoate = 5-aminolevulinate].
Rv3101c,ftsX,Involved in growth (principally during log phase cells). Thought to be involved in active transport of septation component across the membrane. Responsible for the translocation of the substrate across the membrane. Is coded in an operon essential for cell division.
Rv0408,pta,Involved at the last step (of two) in the conversion of acetate to acetyl-CoA [catalytic activity: acetyl-CoA + phosphate = CoA + acetyl phosphate].
Rv2518c,ldtB,Involved in peptidoglycan synthesis. Catalyzes the formation of 3->3 crosslinks between peptidoglycan subunits.
Rv3577,Rv3577,Function unknown
MTB000152,ncRv3220,Unknown
Rv1788,PE18,Function unknown
Rv3538,Rv3538,Unknown; probably involved in cellular metabolism. Predicted to be involved in lipid catabolism.
Rv3766,Rv3766,Unknown
Rv2949c,Rv2949c,Catalyzes the conversion of chorismate to 4-hydroxybenzoate [catalytic activity: chorismate = 4-hydroxybenzoate + pyruvate]
Rv3066,Rv3066,Involved in transcriptional mechanism.
Rv0532,PE_PGRS6,Function unknown
Rv2828A,Rv2828A,Unknown
Rv1692,Rv1692,Function unknown; probably involved in cellular metabolism
Rv2634c,PE_PGRS46,Function unknown
Rv3151,nuoG,Involved in aerobic|anaerobic respiration [catalytic activity: NADH + ubiquinone = NAD(+) + ubiquinol].
Rv2315c,Rv2315c,Function unknown
Rv3631,Rv3631,Function unknown; probably involved in cellular metabolism.
Rv0867c,rpfA,Unknown. May be promote the resuscitation and growth of dormant  nongrowing cell.
Rv1758,cut1,Hydrolysis of cutin.
Rv1209,Rv1209,Function unknown
Rv0585c,Rv0585c,Unknown
Rv0581,vapB26,Unknown
Rv2999,lppY,Unknown
Rv2814c,Rv2814c,Required for the transposition of the insertion element IS6110.
Rv0877,Rv0877,Function unknown
Rv1801,PPE29,Function unknown
Rv2270,lppN,Unknown
Rv0995,rimJ,Acetylates the N-terminal alanine of ribosomal protein S5 [catalytic activity: acetyl-CoA + ribosomal-protein L-alanine = CoA + ribosomal-protein N-acetyl-L-alanine].
Rv2905,lppW,Unknown
Rv2650c,Rv2650c,Unknown
Rv1045,Rv1045,Unknown
Rv0356c,Rv0356c,Function unknown
Rv1756c,Rv1756c,Required for the transposition of the insertion element IS6110.
Rv2056c,rpsN2,Involved in translation
Rv1376,Rv1376,Function unknown
Rv1951c,Rv1951c,Function unknown
Rv3113,Rv3113,Function unknown
Rv1406,fmt,Modify the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by:(I) promoting its recognition by IF2 and (II) impairing its binding to EFTU-GTP. [catalytic activity: 10-formyltetrahydrofolate + L-methionyl-tRNA + H(2)O = tetrahydrofolate + N-formylmethionyl-tRNA]
Rv2535c,pepQ,Function unknown; hydrolyses peptides.
Rv3481c,Rv3481c,Unknown
Rv2680,Rv2680,Function unknown
Rv0041,leuS,Involved in translation mechanism [catalytic activity: ATP + L-leucine + tRNA(LEU) = AMP + diphosphate + L-leucyl-tRNA(LEU)].
Rv0576,Rv0576,Involved in transcriptional mechanism.
Rv0658c,Rv0658c,Unknown. Supposedly involved in stationary-phase survival.
Rv1373,Rv1373,Involved in sulfation: activity towards typical ceramide glycolipids and trehalose glycolipids.
Rv1152,Rv1152,Involved in transcriptional mechanism
Rv0352,dnaJ1,Acts as a co-chaperone. Stimulates  jointly with GRPE|Rv0351  the ATPase activity of DNAK|Rv0350. Seems to be regulated negatively by HSPR (Rv0353 product).
Rv2533c,nusB,Involved in the transcription termination process. Interacts with RPSJ|NUSE|Rv0700.
Rv2984,ppk1,Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyp) [catalytic activity: ATP + {phosphate}(N) = ADP + {phosphate}(N+1)]. Likely involved in MPRAB-SIGE-rel signalling and the stringent response.
Rv0541c,Rv0541c,Unknown
Rv0975c,fadE13,Function unknown  but involved in lipid degradation.
Rv2023c,Rv2023c,Unknown
Rv0125,pepA,Function unknown; possibly hydrolyzes peptides and/or proteins (seems to cleave preferentially after serine residues).
Rv1274,lprB,Unknown
Rv3052c,nrdI,Unknown. Probably involved in ribonucleotide reductase function.
Rv2989,Rv2989,Involved in transcriptional mechanism.
Rv3546,fadA5,Function unknown  but involved in lipid degradation [catalytic activity: 2 acetyl-CoA = CoA + acetoacetyl-CoA].
Rv3077,Rv3077,Function unknown; probably involved in cellular metabolism.
Rv2431c,PE25,Function unknown
Rv1207,folP2,Involved in dihydrofolate biosynthesis [catalytic activity: 2-amino-4-hydroxy-6-hydroxymethyl-7 8-dihydropteridine diphosphate + 4-aminobenzoate = diphosphate + dihydropteroate]
Rv1092c,coaA,Coenzyme A (CoA) biosynthesis [catalytic activity: ATP + pantothenate = ADP + D-4'- phosphopantothenate.]
Rv0144,Rv0144,Involved in transcriptional mechanism.
Rv1600,hisC1,Histidine biosynthesis (eighth step) [catalytic activity: L-histidinol-phosphate + 2-oxoglutarate = 3-(imidazol-4-YL)-2-oxopropyl phosphate + L-glutamate]
MTB000073,mcr16,Unknown
Rv0719,rplF,This protein binds directly to 23S ribosomal RNA and is located at the aminoacyl-tRNA binding site of the peptidyltransferase center.
Rv2869c,rip,Controls membrane composition
